"Brand","USB_ports","Size","Age","Sold_Worldwide","Price"
"HP",5,"Large",1,796,737
"HP",1,"Small",2,980,515
"MSI",1,"Medium",0,782,812
"HP",2,"Large",2,1093,723
"MSI",0,"Medium",2,1170,610
"HP",1,"Large",1,1130,810
"HP",3,"Large",0,1177,890
"HP",2,"Large",2,742,586
"MSI",2,"Medium",0,1228,876
"HP",4,"Medium",4,1356,509
"HP",3,"Medium",3,1037,474
"HP",1,"Large",4,971,363
"HP",2,"Large",2,854,591
"HP",4,"Medium",0,1089,831
"MSI",2,"Large",1,627,713
"Apple",3,"Large",3,713,608
"MSI",1,"Medium",3,1280,616
"MSI",1,"Medium",4,1015,472
"MSI",1,"Medium",0,662,762
"MSI",2,"Large",1,1023,812
"HP",3,"Medium",3,831,393
"HP",2,"Large",3,1033,575
"HP",1,"Small",1,1022,560
"MSI",2,"Large",2,1000,658
"HP",4,"Large",3,1014,603
"Apple",4,"Small",2,1157,642
"MSI",3,"Medium",6,883,178
"MSI",2,"Large",1,1184,840
"MSI",1,"Medium",3,640,408
"HP",1,"Medium",2,1032,637
"MSI",2,"Medium",4,809,392
"Apple",1,"Medium",1,1010,819
"MSI",1,"Medium",2,998,634
"HP",3,"Small",1,890,508
"MSI",2,"Medium",4,914,474
"Apple",1,"Large",3,827,585
"HP",0,"Medium",1,599,583
"MSI",0,"Medium",3,1274,644
"MSI",2,"Large",2,1483,819
"HP",3,"Medium",1,748,645
"MSI",1,"Medium",6,792,178
"HP",2,"Large",0,1054,832
"HP",4,"Small",3,1132,476
"HP",0,"Medium",2,1057,614
"MSI",1,"Medium",4,861,397
"HP",4,"Large",3,1097,512
"HP",0,"Medium",1,874,668
"Apple",6,"Medium",6,817,228
"MSI",2,"Medium",1,1237,770
"HP",1,"Large",3,602,398
"MSI",1,"Medium",2,971,689
"MSI",4,"Medium",4,1082,421
"MSI",3,"Medium",5,944,309
"HP",0,"Large",3,843,531
"HP",3,"Medium",2,1292,657
"HP",2,"Large",4,779,397
"MSI",2,"Medium",0,843,860
"HP",1,"Large",2,996,622
"MSI",2,"Large",6,829,297
"HP",2,"Small",4,843,261
"Apple",0,"Medium",2,1180,745
"HP",2,"Large",2,1046,654
"HP",1,"Medium",2,948,626
"MSI",0,"Medium",0,809,792
"MSI",3,"Medium",0,945,828
"Apple",0,"Medium",2,1065,723
"HP",2,"Medium",4,1011,410
"MSI",3,"Large",1,1316,934
"HP",2,"Medium",3,839,465
"HP",2,"Medium",3,1110,521
"MSI",1,"Large",6,1213,328
"MSI",1,"Large",1,1053,810
"HP",0,"Small",1,885,532
"HP",2,"Medium",4,851,338
"MSI",6,"Large",4,1678,678
"Apple",2,"Large",3,1148,662
"MSI",1,"Medium",3,967,544
"HP",2,"Small",1,1179,662
"MSI",0,"Medium",2,748,647
"HP",3,"Medium",0,1279,906
"MSI",0,"Medium",2,1071,709
